Training number: 1
Start Time: 2019-08-09 18:05:10.892908
Learning rate: 1e-05
Time: D: 0H: 0M: 7S: 45, Episode: 164, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 7S: 47, Episode: 165, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 7S: 50, Episode: 166, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 7S: 53, Episode: 167, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 7S: 56, Episode: 168, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 7S: 59, Episode: 169, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 8S: 1, Episode: 170, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 8S: 4, Episode: 171, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 8S: 7, Episode: 172, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 8S: 10, Episode: 173, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 8S: 12, Episode: 174, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 8S: 15, Episode: 175, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 8S: 17, Episode: 176, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 8S: 20, Episode: 177, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 8S: 23, Episode: 178, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 8S: 25, Episode: 179, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 8S: 28, Episode: 180, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 8S: 32, Episode: 181, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 8S: 35, Episode: 182, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 8S: 38, Episode: 183, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 8S: 41, Episode: 184, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 8S: 44, Episode: 185, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 8S: 47, Episode: 186, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 8S: 50, Episode: 187, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 8S: 53, Episode: 188, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 8S: 56, Episode: 189, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 8S: 59, Episode: 190, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 9S: 2, Episode: 191, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 9S: 5, Episode: 192, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 9S: 8, Episode: 193, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 9S: 10, Episode: 194, Total reward:-18.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 9S: 14, Episode: 195, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 9S: 16, Episode: 196, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 9S: 19, Episode: 197, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 9S: 22, Episode: 198, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 9S: 25, Episode: 199, Total reward:-17.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 9S: 28, Episode: 200, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 9S: 31, Episode: 201, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Test episode: Result= -21.0
